tract,total_tract_vehicles,total_tract_households
06065043304,6275.487878358957,2681.969291203895
06065043306,2949.9350321310667,1511.2164036372333
06065043307,4040.0466543220955,2241.6180195101856
06065043308,1579.2435524243172,867.5869603200762
06065043309,1456.715095387891,741.7447336093303
06065043310,1834.9956069269808,1020.8912722185669
06065043311,1458.2750247438182,642.4894310000628
06065043312,2325.8717739978615,1149.334395670335
06065043313,2409.1306921577852,1033.1758378084064
06065043314,2383.0940364461376,1072.8247478156516
06065043315,1604.6839245706883,703.472171290044
06065043316,2552.4295197506467,1481.417013081089
06065043317,5425.142657299486,2361.5576049843808
06065043401,3229.8434499218874,1725.0358509735559
06065043403,1503.567727933315,838.2033050347177
06065043404,1760.5108737025225,1191.739831728977
06065043405,2476.6643098544614,1609.7368834975462
06065043503,2217.876367135285,1553.8386812559042
06065043504,5031.651160629729,2435.8705892974413
06065043505,1881.003856232441,1356.8236248855674
06065043506,4256.70121492395,2113.726910358648
06065043507,3389.675182464164,1975.3187243375096
06065043508,3977.6739735794663,1998.6188749372
06065043509,3392.810472687699,1640.5417790811127
06065043512,4377.082375172119,2075.4693007325723
06065043513,1981.10880348377,902.9817595846315
06065043517,4105.395403033372,1584.4952841568286
06065043601,1941.2676936292814,1040.577246460828
06065043602,1985.3244743870873,929.3849916245233
06065043701,3113.996020268343,1492.157347634545
06065043702,2987.8323963756493,1500.5808407409797
06065043703,2004.3540741653462,960.9713489417283
06065043802,4434.563148751469,1956.7284389114106
06065043807,4393.787270750482,1892.852094623487
06065043809,3157.8490608364177,1623.3562255839822
06065043810,3943.4147553529197,1938.7949072462618
06065043811,3270.8278749532033,1345.4441087254108
06065043812,5568.94410241224,3863.7142070300706
06065043813,3709.284268897881,1533.108405801095
06065043814,805.6011159677836,467.0312888505427
06065043818,2923.8096147923275,1177.8400853565342
06065043820,3489.0786909020635,1645.153034721979
06065043821,2904.1485720147607,1464.8565011305843
06065043822,2015.025719748214,710.711482153838
06065043823,6087.489559195622,2600.238344808713
06065043900,4435.745800098157,1859.5776226236308
06065044000,1028.7233253744412,528.9649215972998
06065044101,1852.0984035991685,888.5962141208921
06065044102,1613.0513406548716,789.4498153747533
06065044103,3474.719500241796,1945.357436145622
06065044104,2036.7484101004907,867.2783587618032
06065044200,3315.762069161214,1658.7323195444187
06065044300,2281.259958597738,1194.216273795647
06065044402,4225.531075792109,1811.4623183746812
06065044403,3276.9014798023636,1509.097979663673
06065044404,1022.0821869757682,483.83115749594174
06065044405,1367.7877683359868,675.4437624275621
06065044505,3972.5611847821597,2120.8430656064284
06065044507,4239.345267279926,2289.11924061642
06065044509,2142.3363270740656,1316.294050172386
06065044510,3626.475198718681,2127.4878113710165
06065044515,2514.889276953071,1299.751061491353
06065044516,4164.320041387559,2162.4677918672264
06065044517,2052.5565048222225,1113.485419044292
06065044518,3601.7971311267092,1802.6126416742857
06065044520,1219.7753053218419,612.4303291818022
06065044521,863.989469668781,427.66132047430966
06065044522,3058.3238372912942,1652.005827343718
06065044602,2072.0468691464775,1260.9478377284686
06065044604,3225.3857700292815,1829.1481790859887
06065044605,3707.9641570199738,2224.284096199695
06065044606,1863.5798054304878,1140.7389774681471
06065044701,2616.6462296642662,1662.9510478424352
06065044702,1100.0681656212057,593.1001467753226
06065044804,1724.2329686324954,954.4677672372403
06065044805,1388.5278968821756,948.1526966221949
06065044806,1649.747291097924,1144.9361022552816
06065044807,1376.8446460582313,891.5983509066385
06065044904,3343.519565338622,1714.3912905419998
06065044907,3237.4520147855706,1498.8992034605508
06065044911,3462.144786444331,2098.996197984166
06065044915,3814.473644252186,1951.093678135096
06065044916,3678.7281105573834,2094.0710265879247
06065044917,4398.013761164409,2449.904908960824
06065044918,2312.8986408434575,1468.0117820787973
06065044919,3915.3848347689222,2610.5163632381
06065044921,1938.6634955220288,1010.0769505303091
06065044922,3986.7093299073504,2403.8789466257767
06065044923,2766.8294439147385,1240.7640476487827
06065044924,2768.149765892949,1214.1750437868677
06065044925,2751.4086672605576,1083.7749428851248
06065044926,3062.253394964129,1325.5188881764966
06065044927,2661.4196297182134,1784.1840413070888
06065044928,2442.1162850188057,1550.8379472399026
06065044929,2793.2769402307567,1792.9003413176783
06065044930,2200.6587156767496,1343.0714159552451
06065044931,1361.5299039239796,617.2204474515448
06065044932,2259.1943788773706,1123.5026981549775
06065045000,2237.5957635005543,1352.4077917220723
06065045103,2827.055829707869,1711.5920559450626
06065045108,4269.801637335328,2332.453544556357
06065045109,2902.303698038098,1460.52339547962
06065045110,4318.260305676085,2103.040998014786
06065045114,1823.385898194556,1084.424572816494
06065045115,1667.1108399079367,929.0547771151319
06065045116,1130.7258706201694,743.2427990158466
06065045117,3001.442023035931,1684.9984119567969
06065045118,1726.0574415300946,1233.7495200298092
06065045119,2118.387763925098,1096.1455767418222
06065045120,3038.071893783481,1662.0974299431637
06065045121,4899.212232722466,2768.648761814989
06065045122,1267.6043387854318,758.6286589219137
06065045123,2031.901840130623,1097.0082048277932
06065045124,1470.3909494212417,1042.5781314016067
06065045125,2596.618013422703,1372.1001737340448
06065045207,3369.5506672893757,1967.906174605852
06065045209,3654.336514686197,1816.6878628595755
06065045212,2096.462370309264,1198.0254954670957
06065045213,4495.120072462355,2112.341773405636
06065045214,3707.2819108354106,1954.736316551729
06065045215,6720.604109683249,3193.870189143
06065045216,2054.914659450438,1277.4516018102345
06065045217,5667.407463970123,2498.033083878704
